This is Ipopt version trunk, running with linear solver mumps.

Number of nonzeros in equality constraint Jacobian...:   570800
Number of nonzeros in inequality constraint Jacobian.:        1
Number of nonzeros in Lagrangian Hessian.............:   167006

Total number of variables............................:    58455
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    58455
                     variables with only upper bounds:        0
Total number of equality constraints.................:    41755
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  39 2.5688618e+001 4.48e-002 5.43e-001  -3.1 4.53e-001  -0.7 1.00e+000 5.80e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 2.6934861e+001 6.82e-003 2.08e-001  -3.1 8.57e-002  -1.2 1.00e+000 8.48e-001f  1
  41 2.8024573e+001 8.99e-003 8.93e-001  -3.1 3.59e-001  -1.6 2.22e-001 5.11e-001f  1
  42 2.8174549e+001 7.50e-004 3.48e-002  -3.1 3.19e-002  -0.3 1.00e+000 1.00e+000f  1
  43 2.8528314e+001 4.97e-003 1.71e-002  -3.1 1.00e-001  -0.8 1.00e+000 1.00e+000f  1
  44 2.8649821e+001 2.68e-004 9.98e-003  -3.1 2.43e-002  -0.4 1.00e+000 1.00e+000h  1
  45 2.8943980e+001 1.46e-003 1.71e-002  -3.1 5.69e-002  -0.8 1.00e+000 1.00e+000f  1
  46 2.8994262e+001 2.37e-002 3.91e-001  -3.1 1.25e+000  -1.3 3.25e-001 1.33e-001h  1
  47 2.9236133e+001 1.38e-003 1.99e-002  -3.1 4.25e-002  -0.9 1.00e+000 1.00e+000f  1
  48 2.9623956e+001 3.68e-003 1.49e-001  -3.1 8.32e-002  -1.4 1.00e+000 1.00e+000f  1
  49 2.9749655e+001 7.01e-003 8.62e-001  -3.1 2.61e-001  -1.8 1.00e+000 4.94e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 2.9972135e+001 3.26e-002 2.17e+000  -3.1 2.52e-001  -1.4 2.77e-001 1.00e+000f  1
  51 2.9971275e+001 7.29e-004 4.43e-002  -3.1 2.95e-002  -0.1 1.00e+000 1.00e+000h  1
  52 2.9982948e+001 7.35e-005 3.22e-003  -3.1 1.17e-002  -0.6 1.00e+000 1.00e+000h  1
  53 2.2753686e+001 4.21e-003 1.45e+001  -4.7 2.23e-001  -1.0 5.74e-001 9.08e-001f  1
  54 2.1170282e+001 5.73e-004 2.41e+000  -4.7 6.93e-002  -0.6 7.73e-001 1.00e+000h  1
  55 1.8726893e+001 8.27e-004 4.96e-001  -4.7 1.80e-001  -1.1 9.40e-001 4.78e-001f  1
  56 1.6908252e+001 4.92e-004 1.76e-002  -4.7 6.85e-002  -0.7 9.45e-001 1.00e+000h  1
  57 1.6443035e+001 4.72e-004 1.43e-001  -4.7 1.78e-001  -1.1 1.00e+000 1.14e-001h  1
  58 1.5648017e+001 3.50e-004 1.45e-001  -4.7 6.85e-002  -0.7 1.00e+000 4.95e-001h  1
  59 1.4995402e+001 3.74e-004 2.29e-001  -4.7 1.80e-001  -1.2 1.00e+000 1.72e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 1.4234230e+001 3.15e-004 1.69e-001  -4.7 8.46e-002  -0.8 1.00e+000 5.29e-001h  1
  61 1.3611995e+001 3.60e-004 1.94e-001  -4.7 2.28e-001  -1.2 1.00e+000 1.80e-001h  1
  62 1.2646709e+001 3.93e-004 5.94e-002  -4.7 7.86e-002  -0.8 5.01e-001 7.26e-001h  1
  63 1.1955366e+001 4.92e-004 8.43e-002  -4.7 2.55e-001  -1.3 1.00e+000 2.20e-001h  1
  64 1.1297801e+001 4.15e-004 2.14e-002  -4.7 7.44e-002  -0.9 9.28e-001 5.53e-001h  1
  65 1.0617943e+001 5.63e-004 8.16e-002  -4.7 3.59e-001  -1.3 1.00e+000 2.35e-001h  1
  66 9.7265250e+000 6.15e-004 2.57e-002  -4.7 9.06e-002  -0.9 1.00e+000 8.13e-001h  1
  67 9.1581804e+000 7.36e-004 8.06e-002  -4.7 4.37e-001  -1.4 1.00e+000 2.18e-001h  1
  68 8.4810388e+000 6.57e-004 2.43e-002  -4.7 1.12e-001  -1.0 1.00e+000 6.93e-001h  1
  69 8.2770859e+000 6.45e-004 8.35e-002  -4.7 4.27e-001  -1.4 1.00e+000 8.86e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 7.9893082e+000 5.23e-004 9.13e-002  -4.7 1.06e-001  -1.0 8.80e-001 3.44e-001h  1
  71 7.3440967e+000 9.40e-004 5.87e-002  -4.7 4.54e-001  -1.5 1.00e+000 2.94e-001h  1
  72 7.0114282e+000 7.26e-004 3.16e-002  -4.7 1.02e-001  -1.1 8.11e-001 4.24e-001h  1
  73 6.4999232e+000 1.04e-003 5.95e-002  -4.7 4.12e-001  -1.5 9.74e-001 2.62e-001h  1
  74 6.2209903e+000 8.45e-004 7.52e-002  -4.9 1.04e-001  -1.1 1.00e+000 3.56e-001h  1
